
[00:00:00.000 --> 00:00:02.160]  Nice! 水は水の味
[00:00:02.160 --> 00:00:04.940]  あれもないないない これもないないない
[00:00:04.940 --> 00:00:08.040]  好きなタイプは 愛して わざわざ答えて
[00:00:08.040 --> 00:00:11.000]  誰かを好きになること
[00:00:11.000 --> 00:00:13.880]  なんて私 わからなくてさ
[00:00:13.880 --> 00:00:16.680]  嘘がほんとか 知り得ない
[00:00:16.680 --> 00:00:20.520]  そんな言葉に また一人落ちる
[00:00:20.520 --> 00:00:22.520]  また好きにさせる
[00:00:22.520 --> 00:00:25.440]  誰もが 目を奪われてく
[00:00:25.440 --> 00:00:28.680]  君は完璧で 究極の判断
[00:00:28.680 --> 00:00:31.180]  コンリンジャイ 現れない
[00:00:31.180 --> 00:00:34.040]  一番ポッシュ 止まれ 変わり
[00:00:34.040 --> 00:00:37.640]  ああ その笑顔で 愛して らべ
[00:00:37.640 --> 00:00:40.160]  誰も彼も 取り込にして
