=== whisper sampleA-yoru-no-aizu-45s-16k ===

[00:00:00.000 --> 00:00:05.880]  心に走る夜の合図
[00:00:05.880 --> 00:00:11.540]  君の名前がまだ痛い
[00:00:11.540 --> 00:00:16.120]  取り過ぎたはずの未来が
[00:00:16.120 --> 00:00:22.880]  まだ私を呼び止める
[00:00:22.880 --> 00:00:26.080]  何度でも踏み出す振りして
[00:00:26.080 --> 00:00:28.680]  時の針を戻してる
[00:00:28.680 --> 00:00:34.260]  愛してたそれだけじゃダメだったんだね
[00:00:34.260 --> 00:00:37.160]  すれ違った言葉たちが
[00:00:37.160 --> 00:00:40.000]  今さらいに持ち始めてる
=== whisper sampleB-idol-40s-16k ===

[00:00:00.000 --> 00:00:02.160]  Nice! 水は水の味
[00:00:02.160 --> 00:00:04.940]  あれもないないない これもないないない
[00:00:04.940 --> 00:00:08.040]  好きなタイプは 愛して わざわざ答えて
[00:00:08.040 --> 00:00:11.000]  誰かを好きになること
[00:00:11.000 --> 00:00:13.880]  なんて私 わからなくてさ
[00:00:13.880 --> 00:00:16.680]  嘘がほんとか 知り得ない
[00:00:16.680 --> 00:00:20.520]  そんな言葉に また一人落ちる
[00:00:20.520 --> 00:00:22.520]  また好きにさせる
[00:00:22.520 --> 00:00:25.440]  誰もが 目を奪われてく
[00:00:25.440 --> 00:00:28.680]  君は完璧で 究極の判断
[00:00:28.680 --> 00:00:31.180]  コンリンジャイ 現れない
[00:00:31.180 --> 00:00:34.040]  一番ポッシュ 止まれ 変わり
[00:00:34.040 --> 00:00:37.640]  ああ その笑顔で 愛して らべ
[00:00:37.640 --> 00:00:40.160]  誰も彼も 取り込にして
